"filename", "language", "Properties", "JSON", "HTML", "Java", "SQL", "comment", "blank", "total"
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\specifications\MakerSpecifications.java", "Java", 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\specifications\OfferSpecifications.java", "Java", 0, 0, 0, 107, 0, 1, 25, 133
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\specifications\UserLogSpecifications.java", "Java", 0, 0, 0, 24, 0, 1, 8, 33
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\specifications\UserSpecifications.java", "Java", 0, 0, 0, 27, 0, 0, 9, 36
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\AccountDisabledOrClosed.java", "Java", 0, 0, 0, 8, 0, 0, 5, 13
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\AccountNotFoundException.java", "Java", 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\ExceptionSupplier.java", "Java", 0, 0, 0, 13, 0, 0, 7, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\ExceptionsMessages.java", "Java", 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\LocationNotFoundException.java", "Java", 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\MakerNotFoundException.java", "Java", 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\MediaNotFoundException.java", "Java", 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\ModelNotFoundException.java", "Java", 0, 0, 0, 13, 0, 0, 5, 18
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\NoRegistrationRequestFoundException.java", "Java", 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\NoSuchUserException.java", "Java", 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\NotFoundException.java", "Java", 0, 0, 0, 17, 0, 0, 8, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\RequiredFieldMissing.java", "Java", 0, 0, 0, 40, 0, 0, 11, 51
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\ResourceAlreadyExistsException.java", "Java", 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\UserRegistrationDisabledException.java", "Java", 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\UsernamePasswordLoginFailedException.java", "Java", 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\errors\modela\ValidationError.java", "Java", 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\SecurityUtils.java", "Java", 0, 0, 0, 101, 0, 3, 24, 128
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\authentication\AutohousePasswordEncoder.java", "Java", 0, 0, 0, 28, 0, 2, 5, 35
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\authentication\LoggedUser.java", "Java", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\AuthorizationHeader.java", "Java", 0, 0, 0, 25, 0, 0, 11, 36
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtAuthenticationEntryPoint.java", "Java", 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtAuthenticationFilter.java", "Java", 0, 0, 0, 94, 0, 0, 6, 100
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtToken.java", "Java", 0, 0, 0, 46, 0, 0, 10, 56
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtTokenCreateRequest.java", "Java", 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtTokenRepository.java", "Java", 0, 0, 0, 15, 0, 0, 6, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtTokenService.java", "Java", 0, 0, 0, 23, 0, 0, 16, 39
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtTokenServiceImpl.java", "Java", 0, 0, 0, 198, 0, 0, 22, 220
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtTokenSpecifications.java", "Java", 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\security\jwt\JwtTokenType.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\ContactDetailsServiceModel.java", "Java", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\EmailServiceModel.java", "Java", 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\InitialStateModel.java", "Java", 0, 0, 0, 33, 0, 0, 8, 41
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\MakerModelServiceModel.java", "Java", 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\MakerServiceModel.java", "Java", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\ModelServiceModel.java", "Java", 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\ModelTrimsServicesModel.java", "Java", 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\TrimServiceModel.java", "Java", 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\UserRegisterServiceModel.java", "Java", 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\UserServiceModel.java", "Java", 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\service\models\account\AccountCreateServiceModel.java", "Java", 0, 0, 0, 9, 0, 0, 3, 12
